YYYYMM,Description,Quantity,0_cluster,1_cluster,2_cluster,3_cluster,4_cluster,Erratic,Intermittent,Lumpy,Smooth,Quantity_bf1mm,0_cluster_bf1mm,1_cluster_bf1mm,2_cluster_bf1mm,3_cluster_bf1mm,4_cluster_bf1mm,predict_Quantity,importance_Quantity_bf1mm,importance_0_cluster_bf1mm,importance_1_cluster_bf1mm,importance_2_cluster_bf1mm,importance_3_cluster_bf1mm,importance_4_cluster_bf1mm
2011-11-01, 4 PURPLE FLOCK DINNER CANDLES,41,11,0,0,0,1,1,0,0,0,2,2,0,0,0,0,7.415714285714286,0.45,0.44,0.08,0.0,0.0,0.03
2011-12-01, 50'S CHRISTMAS GIFT BAG LARGE,24,2,0,0,0,0,0,0,1,0,255,18,7,0,0,0,395.94,0.24,0.27,0.4,0.0,0.0,0.08
2011-12-01, DOLLY GIRL BEAKER,237,3,1,1,0,0,0,0,1,0,363,22,13,1,0,0,480.98,0.44,0.36,0.06,0.01,0.0,0.12
2011-12-01, I LOVE LONDON MINI BACKPACK,4,1,0,0,0,0,0,0,1,0,89,15,7,0,0,1,85.04,0.27,0.11,0.5,0.11,0.0,0.01
2011-12-01, NINE DRAWER OFFICE TIDY,1,1,0,0,0,0,0,0,1,0,15,7,0,0,0,1,6.736666666666667,0.5,0.41,0.09,0.0,0.0,0.0
2011-12-01, OVAL WALL MIRROR DIAMANTE ,2,0,2,0,0,0,0,0,1,0,24,8,8,0,0,0,15.445944444444445,0.35,0.16,0.49,0.0,0.0,0.01
2011-12-01, RED SPOT GIFT BAG LARGE,27,2,1,0,0,0,0,0,1,0,261,18,2,0,0,0,299.765,0.05,0.89,0.06,0.0,0.0,0.0
2011-12-01, SET 2 TEA TOWELS I LOVE LONDON ,61,7,0,0,0,0,0,0,1,0,37,6,2,0,0,0,46.610912698412704,0.12,0.16,0.3,0.0,0.0,0.42
2011-12-01, SPACEBOY BABY GIFT SET,18,6,1,1,0,0,0,0,1,0,61,12,11,1,0,2,76.02333333333333,0.28,0.3,0.31,0.01,0.0,0.11
2011-12-01, TRELLIS COAT RACK,7,2,0,0,0,0,0,0,1,0,24,8,2,0,0,1,73.74,0.59,0.2,0.13,0.0,0.0,0.07
2011-12-01,10 COLOUR SPACEBOY PEN,385,4,2,1,0,0,0,0,1,0,1051,33,10,1,0,1,632.31,0.31,0.1,0.45,0.03,0.0,0.11
2011-12-01,12 COLOURED PARTY BALLOONS,55,5,1,0,0,0,0,0,1,0,286,21,1,0,0,2,135.32,0.35,0.28,0.36,0.0,0.0,0.01
2011-12-01,12 DAISY PEGS IN WOOD BOX,13,1,1,0,0,0,1,0,0,0,10,3,0,0,0,0,14.625547619047618,0.54,0.24,0.16,0.0,0.0,0.05
2011-12-01,12 EGG HOUSE PAINTED WOOD,6,0,2,0,0,1,0,0,1,0,16,2,2,0,0,3,16.146666666666665,0.35,0.38,0.22,0.0,0.0,0.05
2011-12-01,12 IVORY ROSE PEG PLACE SETTINGS,65,4,3,0,0,0,1,0,0,0,22,3,0,0,0,1,5.9,0.15,0.5,0.14,0.0,0.0,0.2
2011-12-01,12 MESSAGE CARDS WITH ENVELOPES,55,5,3,0,0,0,0,0,1,0,213,33,4,0,0,1,120.885,0.5,0.4,0.08,0.0,0.0,0.02
2011-12-01,12 PENCIL SMALL TUBE WOODLAND,81,5,1,0,0,0,0,0,1,0,1307,63,20,1,0,5,528.12,0.25,0.45,0.1,0.0,0.0,0.2
2011-12-01,12 PENCILS SMALL TUBE RED RETROSPOT,52,3,0,0,0,0,0,0,1,0,1015,56,2,0,0,2,887.12,0.49,0.23,0.07,0.19,0.0,0.02
2011-12-01,12 PENCILS SMALL TUBE SKULL,65,4,1,0,0,1,0,0,1,0,703,23,1,0,0,1,602.712,0.28,0.51,0.16,0.0,0.0,0.05
2011-12-01,12 PENCILS TALL TUBE POSY,151,6,0,0,0,1,1,0,0,0,224,9,0,0,0,0,105.98333333333333,0.45,0.46,0.03,0.0,0.0,0.06
2011-12-01,12 PENCILS TALL TUBE RED RETROSPOT,55,5,0,0,0,1,0,0,1,0,587,53,10,0,0,1,240.48333333333332,0.21,0.29,0.48,0.0,0.0,0.02
2011-12-01,12 PENCILS TALL TUBE SKULLS,41,3,1,0,0,1,0,0,1,0,525,58,11,0,0,1,304.52,0.38,0.44,0.15,0.0,0.0,0.03
2011-12-01,12 PENCILS TALL TUBE WOODLAND,14,2,0,0,0,0,0,0,1,0,346,40,2,0,0,1,160.23,0.41,0.13,0.42,0.0,0.0,0.03
2011-12-01,12 PINK HEN+CHICKS IN BASKET,1,1,0,0,0,0,1,0,0,0,6,1,0,0,0,0,3.7075000000000005,0.15,0.77,0.0,0.0,0.0,0.08
2011-07-01,12 PINK ROSE PEG PLACE SETTINGS,3,2,0,0,0,0,1,0,0,0,-3,2,0,0,0,0,6.6,0.13,0.27,0.0,0.0,0.0,0.61
2011-12-01,12 RED ROSE PEG PLACE SETTINGS,19,4,1,0,0,1,0,0,1,0,59,8,1,0,0,5,67.694,0.27,0.44,0.09,0.0,0.0,0.21
2011-12-01,15CM CHRISTMAS GLASS BALL 20 LIGHTS,9,3,0,0,0,0,0,0,1,0,448,58,14,0,0,3,194.62,0.24,0.47,0.12,0.0,0.0,0.17
2011-12-01,16 PIECE CUTLERY SET PANTRY DESIGN,36,0,2,1,0,1,0,0,1,0,16,5,1,0,0,1,37.47,0.32,0.38,0.11,0.0,0.0,0.18
