,CustomerID,Recency,Frequency,Monetary,First_Purchase,MAX_Amount,MIN_Amount,MEAN_Amount,cluster
0,12346.0,326,2,0,1,74215,-74215,0.0,3
1,12347.0,40,7,3012,7,240,0,16.54945054945055,0
2,12348.0,76,4,944,12,240,0,30.451612903225808,0
3,12349.0,19,1,1404,11,300,0,19.232876712328768,0
4,12350.0,311,1,244,2,40,0,14.352941176470589,0
5,12352.0,73,11,1273,1,376,-376,13.4,0
6,12353.0,204,1,74,5,36,8,18.5,0
7,12354.0,233,1,703,4,32,0,12.120689655172415,0
8,12355.0,96,1,374,9,96,12,28.76923076923077,0
9,12356.0,23,3,2065,1,324,0,35.0,0
10,12357.0,182,1,4794,6,192,0,36.595419847328245,0
11,12358.0,3,2,992,8,160,0,52.21052631578947,0
12,12359.0,9,6,5333,2,290,-42,20.996062992125985,0
13,12360.0,53,3,1952,5,160,0,15.131782945736434,0
14,12361.0,288,1,117,2,15,10,11.7,0
15,12362.0,12,13,3851,2,60,-16,14.054744525547445,0
16,12363.0,36,2,342,8,48,0,14.869565217391305,0
17,12364.0,41,4,513,2,45,0,6.035294117647059,0
18,12365.0,292,3,239,2,320,-320,10.391304347826088,0
19,12367.0,212,1,86,5,18,0,7.818181818181818,0
20,12370.0,52,4,2359,12,128,0,14.125748502994012,0
21,12371.0,30,2,1568,10,360,0,24.88888888888889,0
22,12372.0,35,3,790,2,48,0,15.192307692307692,0
23,12373.0,342,1,200,1,40,0,14.285714285714286,0
24,12374.0,26,1,537,11,120,0,16.272727272727273,0
25,12375.0,11,3,414,2,60,-2,23.0,0
26,12377.0,316,2,1080,12,80,0,14.025974025974026,0
27,12378.0,305,1,2657,2,48,0,12.132420091324201,0
28,12379.0,82,3,586,6,72,-1,14.292682926829269,0
29,12380.0,22,5,2219,7,144,-4,21.133333333333333,0
30,12381.0,0,6,1368,5,240,-12,15.032967032967033,0
31,12383.0,9,6,1116,12,72,-9,11.16,0
32,12384.0,29,3,511,9,80,-9,17.033333333333335,0
33,12386.0,192,2,228,8,60,0,22.8,0
34,12388.0,16,6,1831,1,72,0,18.31,0
35,12390.0,80,1,359,9,45,0,11.21875,0
36,12391.0,22,1,337,11,20,0,3.37,0
37,12393.0,39,4,1084,1,96,0,16.9375,0
38,12394.0,153,2,882,6,256,0,32.666666666666664,0
39,12395.0,5,15,1764,3,72,-12,11.09433962264151,0
40,12397.0,136,2,1720,4,120,0,13.65079365079365,0
41,12398.0,46,1,978,10,200,0,11.505882352941176,0
42,12399.0,2,4,439,3,36,0,7.440677966101695,0
43,12401.0,99,1,76,9,24,10,15.2,0
44,12402.0,324,1,140,1,30,6,12.727272727272727,0
45,12403.0,50,2,394,10,160,-18,65.66666666666667,0
46,12405.0,149,1,1232,7,320,0,22.814814814814813,0
47,12406.0,22,3,2331,9,100,-56,21.583333333333332,0
48,12407.0,50,5,1090,3,90,0,14.155844155844155,0
49,12408.0,128,9,2005,2,96,-15,17.743362831858406,0
50,12409.0,65,7,8412,8,288,-4,73.78947368421052,0
51,12410.0,38,3,575,4,160,-8,20.535714285714285,0
52,12412.0,75,3,847,6,48,0,13.885245901639344,0
53,12413.0,9,5,487,4,54,-54,12.175,0
54,12414.0,188,3,417,2,64,0,23.166666666666668,0
55,12415.0,25,26,87640,1,1008,-400,112.6478149100257,4
56,12417.0,40,12,2762,12,84,-19,13.94949494949495,0
57,12418.0,113,1,472,8,64,0,13.882352941176471,0
58,12420.0,153,1,444,7,36,0,15.310344827586206,0
59,12421.0,16,5,574,1,56,0,12.478260869565217,0
60,12422.0,169,3,566,1,120,0,14.512820512820513,0
61,12423.0,89,9,1108,12,45,0,8.793650793650794,0
62,12424.0,163,2,1362,6,288,0,45.4,0
63,12425.0,78,1,516,9,48,0,14.333333333333334,0
64,12426.0,195,1,440,5,72,0,14.666666666666666,0
65,12427.0,12,5,585,3,64,-32,16.714285714285715,0
66,12428.0,26,12,6072,1,550,-40,20.24,0
